step,phase,step_in_phase,dt,accept_rate,step_size,alpha,sigma,beta
0,burn-in,1,1.2051226049661636,1.0,0.011993961507782811,0.7997249622838974,1.5020853648843102,0.3009260104002487
1,burn-in,2,1.196516340598464,1.0,0.016022037479799665,0.8675367176889675,1.4160413552466473,0.2866611058429706
2,burn-in,3,1.1957641802728176,1.0,0.022240570257331057,0.8909221079287077,1.3835713242373764,0.27458260253247324
3,burn-in,4,1.2063527340069413,1.0,0.03135462649233246,0.800208256417132,1.202357807496136,0.25612789101880196
4,burn-in,5,1.2051775716245174,1.0,0.04439056462448046,0.7860778403852677,1.2797911110089792,0.25262305830136206
5,burn-in,6,1.2134573515504599,1.0,0.06276672275604371,0.8555593477064755,1.4776959704985868,0.28212877314531204
6,burn-in,7,1.19693542458117,1.0,0.08833683901340943,1.0614799145012765,1.4463122157297645,0.4200368437855872
7,burn-in,8,1.2083246288821101,1.0,0.12055406080210745,0.9419054526479851,1.0880000581365323,0.9414012745686253
8,burn-in,9,1.1988453324884176,1.0,0.16732315471968695,0.45867765311216147,0.6434721228098836,0.6821036829855022
9,burn-in,10,1.2008759723976254,1.0,0.23045718545859983,0.812934620264584,1.4305583608486,0.4603520261232067
10,burn-in,11,1.204010329209268,1.0,0.3117348846930175,1.256870069441847,1.0777835092990518,0.410499336662505
11,burn-in,12,1.201483533717692,1.0,0.37656650941124203,0.36092442179206374,1.0055220301014056,0.4647885791619305
12,burn-in,13,1.2193673392757773,1.0,0.5070353522338641,1.6697322484100894,1.266523274129927,0.5010261977520932
13,burn-in,14,1.2070578830316663,1.0,0.4259381004093128,0.6740748336488301,0.6406525638691285,1.277220925988429
14,burn-in,15,1.1993399960920215,1.0,0.4596893827409887,1.098584144668205,2.021665683567839,0.20169525233212118
15,burn-in,16,1.2033491609618068,1.0,0.608943649749259,0.6452874874652029,1.3376888065335166,0.9700745584721884
16,burn-in,17,1.1918975813314319,1.0,0.8016974953588034,1.1410082975997604,1.334319622617338,0.49116015352525966
17,burn-in,18,1.1952880304306746,1.0,0.1288813508299272,1.1149672326163422,0.2599409041978527,0.482877669328466
18,burn-in,19,1.1938047194853425,1.0,0.16436418959140756,0.8363567185173806,0.22078346503065954,0.5249322469873271
19,burn-in,20,1.1952035780996084,1.0,0.21641819378099741,0.4827220483920343,1.039191220236633,0.23635525693384085
20,burn-in,21,1.1984019335359335,1.0,0.2834852412535291,0.7419409291501683,0.36454952745869074,0.4849774257765568
21,burn-in,22,1.2113016825169325,1.0,0.36945916228228937,0.5534816744338976,1.4021374385854566,0.3693985281488631
22,burn-in,23,1.2243355819955468,1.0,0.4791350785923601,1.309265570518434,0.9326862206837577,0.6421311772343543
23,burn-in,24,1.1964478101581335,1.0,0.6183945797182853,0.5163136234049632,1.0096022307993173,0.41912091228007825
24,burn-in,25,1.2036718418821692,1.0,0.6998692619694269,1.1738623194964781,1.3631857606301563,0.3594940838873099
25,burn-in,26,1.1966331386938691,0.9615384615384616,0.14834252471764967,1.1738623194964781,1.3631857606301563,0.3594940838873099
26,burn-in,27,1.2034588484093547,0.9629629629629629,0.19199959318878237,0.9022027328007225,1.5007831804140577,0.6143996607856311
27,burn-in,28,1.2036971189081669,0.9642857142857143,0.2349494116679769,0.5038320363780637,2.5615961079496286,0.433673616001828
28,burn-in,29,1.1934536900371313,0.9655172413793104,0.3015793842715066,1.323665938455805,1.4881312352263585,0.36070973146937335
29,burn-in,30,1.2014903891831636,0.9666666666666667,0.3793833274550613,1.0683992152178123,2.0929607639765693,0.4220262721997759
30,burn-in,31,1.199348073452711,0.967741935483871,0.4830403226230599,0.5923882627214986,0.9721922663841435,0.5347669878704672
31,burn-in,32,1.200837536714971,0.96875,0.3377845795790572,2.1448359547181814,0.8482693005521325,0.4842152891678326
32,burn-in,33,1.1984308892861009,0.9696969696969697,0.39848850666996527,0.30403016435249886,0.9790871862664792,0.434008213727643
33,burn-in,34,1.191848804242909,0.9705882352941176,0.5042783545764907,2.0055251166979517,0.814308922653473,0.5320983212058624
34,burn-in,35,1.2099386909976602,0.9714285714285714,0.5307549246830934,0.3497329268899454,0.9952073191174639,0.37095394258330927
35,burn-in,36,1.1937384903430939,0.9722222222222222,0.3997973537401872,2.6431464448701214,1.3948241835479795,0.4779877543803811
36,burn-in,37,1.1990355616435409,0.972972972972973,0.4791207772247941,0.2645753869993467,0.5743393288752825,0.5105792634180406
37,burn-in,38,1.2128695137798786,0.9736842105263158,0.6012733062889053,2.595375626855932,1.486995099100286,0.5473087269932302
38,burn-in,39,1.206029367633164,0.9743589743589743,0.7520510116539794,0.38500518712321685,1.3793333994175874,0.507178930917737
39,burn-in,40,1.2156661348417401,0.95,0.7731624294771117,0.38500518712321685,1.3793333994175874,0.507178930917737
40,burn-in,41,1.208480923436582,0.9512195121951219,0.9622683087448642,0.6188240645462403,2.2572480006041054,0.4113365501543359
41,burn-in,42,1.215276688337326,0.9285714285714286,0.11483150992906248,0.6188240645462403,2.2572480006041054,0.4113365501543359
42,burn-in,43,1.2145190183073282,0.9302325581395349,0.1444891273662665,0.6630843562424512,2.1259657952958912,0.45193256393867864
43,burn-in,44,1.2263765949755907,0.9318181818181818,0.18122290420154813,0.9151343157010987,1.5072302827777766,0.43122583782448864
44,burn-in,45,1.2155009703710675,0.9333333333333333,0.22658702879978457,0.7727810556326373,1.423245584756817,0.48576693876091387
45,burn-in,46,1.2003813423216343,0.9347826086956522,0.2772018845351965,1.2650073758027,0.8305608325953525,0.6783622343686568
46,burn-in,47,1.2132952148094773,0.9361702127659575,0.3445702763964985,1.469079840281705,0.8397183720234399,0.43032454876026405
47,burn-in,48,1.202351707033813,0.9375,0.4034584600690597,0.520104187912942,1.5848584825193404,0.5087320562394165
48,burn-in,49,1.2170597994700074,0.9387755102040817,0.460807972282239,1.35191280421255,0.5635944366276368,0.4747731188218145
49,burn-in,50,1.2193880071863532,0.94,0.5428390098706978,0.5139575957757655,1.5516251440102264,0.46590219368750463
50,burn-in,51,1.2047580666840076,0.92,0.49670233989639556,0.5139575957757655,1.5516251440102264,0.46590219368750463
51,burn-in,52,1.2156877322122455,0.92,0.61100469727721,1.4069623814142733,0.6378005932066294,0.317839213526657
