=== Running 6 BPF experiments (Cubic Sensor + Stochastic Volatility) ===

========================================
[1/6] hmc/cubic_sensor/bpf_sys
========================================
Creating true model: src.models.cubic_sensor.CubicSensorModel
Generating 50 time steps with true params: {'sigma_V': 1.0, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771739646.544352 2186196 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running HMC inference...
Using HMC sampler (num_leapfrog_steps=5)
Running HMC: 100 burn-in + 200 sampling = 300 total steps
  [grad check] lp=-160.7081, |grad|=9.49333477487508, grad=[-8.8520786  -3.42988478]
  [burn-in 45/100] 0.8s | accept=80% | step_size=0.0003 | sigma_V=4.9861, sigma_W=1.9507 | ETA 200s
  [burn-in 46/100] 0.8s | accept=78% | step_size=0.0001 | sigma_V=4.9861, sigma_W=1.9507 | ETA 199s
  [burn-in 47/100] 0.8s | accept=79% | step_size=0.0001 | sigma_V=4.9867, sigma_W=1.9506 | ETA 199s
  [burn-in 48/100] 0.8s | accept=79% | step_size=0.0000 | sigma_V=4.9866, sigma_W=1.9509 | ETA 198s
  [burn-in 49/100] 0.8s | accept=78% | step_size=0.0000 | sigma_V=4.9866, sigma_W=1.9509 | ETA 197s
  [burn-in 50/100] 0.8s | accept=78% | step_size=0.0000 | sigma_V=4.9866, sigma_W=1.9510 | ETA 196s
  [burn-in 51/100] 0.8s | accept=78% | step_size=0.0001 | sigma_V=4.9867, sigma_W=1.9511 | ETA 196s
  [burn-in 52/100] 0.8s | accept=80% | step_size=0.0000 | sigma_V=4.9865, sigma_W=1.9510 | ETA 195s
  [burn-in 53/100] 0.8s | accept=80% | step_size=0.0000 | sigma_V=4.9867, sigma_W=1.9511 | ETA 194s
  [burn-in 54/100] 0.8s | accept=80% | step_size=0.0000 | sigma_V=4.9864, sigma_W=1.9510 | ETA 192s
  [burn-in 55/100] 0.8s | accept=80% | step_size=0.0001 | sigma_V=4.9864, sigma_W=1.9510 | ETA 192s
  [burn-in 56/100] 0.8s | accept=80% | step_size=0.0001 | sigma_V=4.9863, sigma_W=1.9510 | ETA 191s
  [burn-in 57/100] 0.8s | accept=80% | step_size=0.0001 | sigma_V=4.9861, sigma_W=1.9513 | ETA 190s
  [burn-in 58/100] 0.8s | accept=80% | step_size=0.0001 | sigma_V=4.9860, sigma_W=1.9513 | ETA 190s
  [burn-in 59/100] 0.8s | accept=80% | step_size=0.0001 | sigma_V=4.9866, sigma_W=1.9519 | ETA 189s
  [burn-in 60/100] 0.8s | accept=82% | step_size=0.0000 | sigma_V=4.9872, sigma_W=1.9521 | ETA 188s
  [burn-in 61/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9873, sigma_W=1.9519 | ETA 187s
  [burn-in 62/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9872, sigma_W=1.9519 | ETA 187s
  [burn-in 63/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9874, sigma_W=1.9514 | ETA 186s
  [burn-in 64/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9874, sigma_W=1.9514 | ETA 185s
  [burn-in 65/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9875, sigma_W=1.9513 | ETA 184s
  [burn-in 66/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9877, sigma_W=1.9510 | ETA 184s
  [burn-in 67/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9873, sigma_W=1.9510 | ETA 183s
  [burn-in 68/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9870, sigma_W=1.9513 | ETA 182s
  [burn-in 69/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9865, sigma_W=1.9517 | ETA 182s
  [burn-in 70/100] 0.8s | accept=82% | step_size=0.0001 | sigma_V=4.9874, sigma_W=1.9520 | ETA 181s
  [burn-in 71/100] 0.8s | accept=82% | step_size=0.0002 | sigma_V=4.9878, sigma_W=1.9518 | ETA 180s
  [burn-in 72/100] 0.8s | accept=82% | step_size=0.0002 | sigma_V=4.9892, sigma_W=1.9515 | ETA 180s
  [burn-in 73/100] 0.8s | accept=82% | step_size=0.0002 | sigma_V=4.9902, sigma_W=1.9516 | ETA 179s
  [burn-in 74/100] 0.8s | accept=82% | step_size=0.0002 | sigma_V=4.9905, sigma_W=1.9507 | ETA 178s
  [burn-in 75/100] 0.8s | accept=84% | step_size=0.0002 | sigma_V=4.9917, sigma_W=1.9504 | ETA 177s
  [burn-in 76/100] 0.8s | accept=86% | step_size=0.0002 | sigma_V=4.9913, sigma_W=1.9504 | ETA 177s
  [burn-in 77/100] 0.8s | accept=86% | step_size=0.0002 | sigma_V=4.9910, sigma_W=1.9508 | ETA 176s
  [burn-in 78/100] 0.8s | accept=84% | step_size=0.0002 | sigma_V=4.9910, sigma_W=1.9508 | ETA 175s
  [burn-in 79/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9499 | ETA 175s
  [burn-in 80/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9505 | ETA 174s
  [burn-in 81/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9514 | ETA 173s
  [burn-in 82/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9912, sigma_W=1.9510 | ETA 172s
  [burn-in 83/100] 0.8s | accept=86% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9504 | ETA 172s
  [burn-in 84/100] 0.8s | accept=86% | step_size=0.0001 | sigma_V=4.9913, sigma_W=1.9501 | ETA 171s
  [burn-in 85/100] 0.8s | accept=86% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9504 | ETA 170s
  [burn-in 86/100] 0.8s | accept=86% | step_size=0.0001 | sigma_V=4.9924, sigma_W=1.9500 | ETA 169s
  [burn-in 87/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9924, sigma_W=1.9500 | ETA 168s
  [burn-in 88/100] 0.8s | accept=84% | step_size=0.0001 | sigma_V=4.9918, sigma_W=1.9488 | ETA 167s
  [burn-in 89/100] 0.8s | accept=86% | step_size=0.0001 | sigma_V=4.9919, sigma_W=1.9490 | ETA 166s
  [burn-in 90/100] 0.8s | accept=88% | step_size=0.0001 | sigma_V=4.9918, sigma_W=1.9484 | ETA 166s
  [burn-in 91/100] 0.8s | accept=88% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9489 | ETA 165s
  [burn-in 92/100] 0.8s | accept=88% | step_size=0.0001 | sigma_V=4.9913, sigma_W=1.9489 | ETA 164s
  [burn-in 93/100] 0.8s | accept=88% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9490 | ETA 163s
  [burn-in 94/100] 0.8s | accept=88% | step_size=0.0001 | sigma_V=4.9903, sigma_W=1.9485 | ETA 162s
  [burn-in 95/100] 0.8s | accept=88% | step_size=0.0001 | sigma_V=4.9908, sigma_W=1.9477 | ETA 161s
  [burn-in 96/100] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9910, sigma_W=1.9476 | ETA 160s
  [burn-in 97/100] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9910, sigma_W=1.9469 | ETA 160s
  [burn-in 98/100] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9463 | ETA 159s
  [burn-in 99/100] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9908, sigma_W=1.9473 | ETA 158s
  [burn-in 100/100] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9917, sigma_W=1.9474 | ETA 157s
  [sample 1/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9474 | ETA 156s
  [sample 2/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9915, sigma_W=1.9470 | ETA 156s
  [sample 3/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9915, sigma_W=1.9478 | ETA 155s
  [sample 4/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9916, sigma_W=1.9477 | ETA 154s
  [sample 5/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9482 | ETA 154s
  [sample 6/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9484 | ETA 153s
  [sample 7/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9489 | ETA 152s
  [sample 8/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9902, sigma_W=1.9485 | ETA 152s
  [sample 9/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9899, sigma_W=1.9494 | ETA 151s
  [sample 10/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9899, sigma_W=1.9494 | ETA 151s
  [sample 11/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9899, sigma_W=1.9494 | ETA 150s
  [sample 12/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9899, sigma_W=1.9498 | ETA 149s
  [sample 13/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9898, sigma_W=1.9497 | ETA 148s
  [sample 14/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9900, sigma_W=1.9495 | ETA 147s
  [sample 15/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9903, sigma_W=1.9503 | ETA 146s
  [sample 16/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9894, sigma_W=1.9502 | ETA 146s
  [sample 17/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9892, sigma_W=1.9499 | ETA 145s
  [sample 18/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9897, sigma_W=1.9501 | ETA 144s
  [sample 19/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9905, sigma_W=1.9497 | ETA 143s
  [sample 20/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9912, sigma_W=1.9493 | ETA 142s
  [sample 21/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9909, sigma_W=1.9487 | ETA 141s
