=== Running 4 PGibbs experiments ===

========================================
[1/4] pgibbs/kitagawa_bpf_mh (1000 burn-in + 2000 samples)
========================================
Creating true model: src.models.kitagawa.KitagawaModel
Generating 100 time steps with true params: {'sigma_V': 3.162, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771687487.280086 2118346 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running PGIBBS inference...
PGibbs + MH: 1000 burn-in + 2000 sampling = 3000 total iterations
  MH: 1 steps/iter, proposal_std=0.1
Initializing trajectory...
  Initial trajectory shape: (101, 1)
I0000 00:00:1771687491.526043 2118346 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x19101550
  [burn-in 40/1000] 2.8s | theta_accept=52% | proposal_std=0.1000 | sigma_V=2.3712, sigma_W=2.6972 | ETA 8489s
  [burn-in 41/1000] 2.8s | theta_accept=54% | proposal_std=0.1000 | sigma_V=2.3859, sigma_W=2.7443 | ETA 8465s
  [burn-in 42/1000] 2.8s | theta_accept=52% | proposal_std=0.1000 | sigma_V=2.3859, sigma_W=2.7443 | ETA 8441s
  [burn-in 43/1000] 2.8s | theta_accept=51% | proposal_std=0.1000 | sigma_V=2.3859, sigma_W=2.7443 | ETA 8428s
  [burn-in 44/1000] 2.8s | theta_accept=52% | proposal_std=0.1000 | sigma_V=2.4932, sigma_W=2.7510 | ETA 8399s
  [burn-in 45/1000] 2.8s | theta_accept=53% | proposal_std=0.1000 | sigma_V=2.5719, sigma_W=2.9003 | ETA 8365s
  [burn-in 46/1000] 2.8s | theta_accept=54% | proposal_std=0.1000 | sigma_V=2.6567, sigma_W=2.8731 | ETA 8327s
  [burn-in 47/1000] 2.8s | theta_accept=53% | proposal_std=0.1000 | sigma_V=2.6567, sigma_W=2.8731 | ETA 8297s
  [burn-in 48/1000] 2.7s | theta_accept=54% | proposal_std=0.1000 | sigma_V=2.6693, sigma_W=2.9586 | ETA 8262s
  [burn-in 49/1000] 2.8s | theta_accept=53% | proposal_std=0.1000 | sigma_V=2.6693, sigma_W=2.9586 | ETA 8242s
  [burn-in 50/1000] 2.8s | theta_accept=52% | proposal_std=0.1000 | sigma_V=2.6693, sigma_W=2.9586 | ETA 8231s
  [burn-in 51/1000] 2.7s | theta_accept=50% | proposal_std=0.1000 | sigma_V=2.6693, sigma_W=2.9586 | ETA 8211s
  [burn-in 52/1000] 2.8s | theta_accept=50% | proposal_std=0.1000 | sigma_V=2.6693, sigma_W=2.9586 | ETA 8194s
  [burn-in 53/1000] 2.8s | theta_accept=50% | proposal_std=0.1000 | sigma_V=2.6693, sigma_W=2.9586 | ETA 8179s
