step,phase,step_in_phase,dt,accept_rate,step_size,obs_noise_std
0,burn-in,1,6.771392127498984,1.0,0.011993961507782811,1.9994520523722168
1,burn-in,2,6.75893606711179,1.0,0.016017357870397625,2.087003496324644
2,burn-in,3,6.811895975843072,1.0,0.022233710708411427,2.0917388904340743
3,burn-in,4,6.667969957925379,1.0,0.03134425762976385,1.8975847551085492
4,burn-in,5,6.659703507088125,1.0,0.04438351447079926,1.7707093477374918
5,burn-in,6,6.696976478211582,1.0,0.0627564851517943,1.6791572202476905
6,burn-in,7,6.7506326753646135,1.0,0.08832219181356332,1.6007551836902632
7,burn-in,8,6.916415952146053,1.0,0.12350610283131816,1.0391668378034729
8,burn-in,9,6.787878358736634,1.0,0.17060985168500759,1.0269936610679327
9,burn-in,10,6.83206136059016,1.0,0.23499035649673847,1.1624656953082466
10,burn-in,11,6.841412387788296,0.9090909090909091,0.2576368937634315,1.1624656953082466
11,burn-in,12,6.818072359077632,0.9166666666666666,0.14180145374447745,1.4169148239796807
12,burn-in,13,6.907906363718212,0.9230769230769231,0.18251786853887622,0.852205041841398
13,burn-in,14,7.013009367510676,0.9285714285714286,0.21880694175609144,1.4762924057537108
14,burn-in,15,6.898619481362402,0.9333333333333333,0.2925313853603701,0.9539516824332838
15,burn-in,16,6.93321609031409,0.9375,0.38579323075938027,0.9533943775645994
16,burn-in,17,6.958251967094839,0.9411764705882353,0.5096299810040558,1.2025193109026253
17,burn-in,18,6.969002341851592,0.9444444444444444,0.11369570603558465,0.8904403424327337
18,burn-in,19,6.998572492972016,0.9473684210526315,0.15060045170730288,1.2204162983546003
19,burn-in,20,7.095155165530741,0.95,0.1984381082834077,1.0076326927137946
20,burn-in,21,7.012047394178808,0.9523809523809523,0.25155732922928786,1.2268190205023872
21,burn-in,22,6.957470711320639,0.9545454545454546,0.18285906040519745,1.4076015443620724
22,burn-in,23,6.9915052857249975,0.9565217391304348,0.22628069423309585,0.8598072922132378
23,burn-in,24,7.0021193735301495,0.9583333333333334,0.29392497759053743,1.0969757060563976
24,burn-in,25,7.065547521226108,0.96,0.37946572566734543,1.0917318668800866
25,burn-in,26,7.1249938970431685,0.9230769230769231,0.4601721526661372,1.0917318668800866
26,burn-in,27,6.976064047776163,0.9259259259259259,0.4333005103784147,1.1954853331026034
27,burn-in,28,6.957875644788146,0.8928571428571429,0.03514810844012937,1.1954853331026034
28,burn-in,29,6.942818752489984,0.896551724137931,0.04565540753085233,1.2749563965566653
29,burn-in,30,6.977088921703398,0.9,0.0590746360754804,1.3091489467651394
30,burn-in,31,6.990608007647097,0.9032258064516129,0.07638011976200816,1.0602229673557666
31,burn-in,32,7.126414071768522,0.90625,0.08746541669632912,1.4849184211358082
32,burn-in,33,7.001988773234189,0.9090909090909091,0.11226265161714025,0.9038563837505025
33,burn-in,34,6.834372669458389,0.9117647058823529,0.14351857460060916,1.2282700917900335
34,burn-in,35,6.78513153269887,0.9142857142857143,0.18213384585792347,0.9893615088976556
35,burn-in,36,6.758534220047295,0.9166666666666666,0.15404774141134073,1.4173433221435794
36,burn-in,37,6.775702062994242,0.918918918918919,0.1934665428588482,0.8574019905063178
37,burn-in,38,6.831484431400895,0.9210526315789473,0.24449008029104463,1.262510383873768
38,burn-in,39,6.8098851488903165,0.8974358974358975,0.25338258409858655,1.262510383873768
39,burn-in,40,6.760131627321243,0.9,0.318489847023346,1.193714418293687
40,burn-in,41,6.78723162971437,0.9024390243902439,0.3990086787881193,1.1584450016071521
41,burn-in,42,6.838505852967501,0.9047619047619048,0.4982869538266707,1.085524222872405
42,burn-in,43,6.862924505956471,0.9069767441860465,0.2441254451989668,0.952395762902275
43,burn-in,44,6.895699366927147,0.9090909090909091,0.3050404613180103,0.9669256349810382
44,burn-in,45,6.865050473250449,0.9111111111111111,0.36241237482937033,0.9598407301310076
45,burn-in,46,6.7814673986285925,0.9130434782608695,0.21910053347063876,1.3672875531641506
46,burn-in,47,6.781963403336704,0.9148936170212766,0.2625990920013493,0.8718751400486093
47,burn-in,48,6.821434701792896,0.9166666666666666,0.3260900949637737,0.9748788268488613
48,burn-in,49,6.722734889015555,0.8979591836734694,0.1135687127315707,0.9748788268488613
49,burn-in,50,6.849870411679149,0.9,0.14143935713924538,1.187672730980051
50,burn-in,51,6.811622957699001,0.9,0.17565378510961144,1.048869278195422
51,burn-in,52,6.832390999421477,0.9,0.21199817944496577,1.1943199415540424
52,burn-in,53,6.844951383769512,0.9,0.21733263034727948,0.9337257522458426
53,burn-in,54,6.839338108897209,0.9,0.17461656794850705,1.447035854356123
54,burn-in,55,6.794916165992618,0.9,0.2154519085077786,0.8607338006443144
55,burn-in,56,6.874349343590438,0.9,0.26516471399283137,1.2723415463055006
56,burn-in,57,6.810169627889991,0.9,0.2930390015935504,1.3105347822894948
57,burn-in,58,6.795730782672763,0.9,0.35407017774674965,1.3138592252260521
58,burn-in,59,6.773650088347495,0.88,0.13223847477621706,1.3138592252260521
59,burn-in,60,6.789185599423945,0.88,0.16247312397447064,1.2648873860850418
60,burn-in,61,6.750563214533031,0.9,0.1960962678844935,0.9541001945451694
61,burn-in,62,6.893198274075985,0.9,0.2398350984941068,1.2468133867612408
62,burn-in,63,6.807977471500635,0.9,0.29267328160656253,1.0307134065349086
63,burn-in,64,6.75774905923754,0.9,0.3563724404344214,1.0310551492490747
64,burn-in,65,6.7382039269432425,0.9,0.34081132532617947,1.242591911471478
65,burn-in,66,6.745525442063808,0.9,0.360914825834306,1.2786578247507643
66,burn-in,67,6.765359778888524,0.9,0.16358308736465774,0.8228342920219599
67,burn-in,68,6.913390166126192,0.9,0.19902790656741365,1.486728900795529
68,burn-in,69,6.79233921226114,0.9,0.24165579527005707,1.0905872504017058
69,burn-in,70,6.720139989629388,0.88,0.14782731787106887,1.0905872504017058
70,burn-in,71,6.760656883940101,0.88,0.17883289239178624,1.132705593994214
71,burn-in,72,6.764356929808855,0.88,0.2132907497762659,0.9999476360962885
72,burn-in,73,6.839164210483432,0.88,0.23118502627876258,0.9498901795745035
73,burn-in,74,6.963218722492456,0.88,0.27917253516468726,1.0395725018615773
74,burn-in,75,6.773833118379116,0.88,0.25964570063246073,0.9506881823010095
75,burn-in,76,6.791915024630725,0.9,0.31280393576650756,1.0834807177650625
76,burn-in,77,6.762285980395973,0.9,0.3657129070998741,1.0562693628570234
77,burn-in,78,6.815708820708096,0.9,0.07432845495459718,1.0562693628570234
78,burn-in,79,6.811401125043631,0.9,0.08956230048619095,1.1841836722774295
79,burn-in,80,6.910155205056071,0.9,0.2049654698848693,1.0214348169824348
80,burn-in,81,6.733113349415362,0.9,0.2049654698848693,1.141014595413572
81,burn-in,82,6.748228324577212,0.9,0.2049654698848693,1.0585075132285988
82,burn-in,83,6.7810941291972995,0.9,0.2049654698848693,1.0830191283033597
83,burn-in,84,6.677173510193825,0.9,0.2049654698848693,1.146412165325404
84,burn-in,85,6.815040500834584,0.9,0.2049654698848693,1.0396298328315214
85,burn-in,86,6.807596538215876,0.9,0.2049654698848693,0.9326578389077138
86,burn-in,87,6.852866175584495,0.9,0.2049654698848693,1.1666372980747763
87,burn-in,88,7.005781501531601,0.9,0.2049654698848693,1.2519101805982278
88,burn-in,89,6.998696196824312,0.92,0.2049654698848693,1.022410121409644
89,burn-in,90,6.977756384760141,0.92,0.2049654698848693,1.1729662115586597
90,burn-in,91,6.954459661617875,0.92,0.2049654698848693,1.183690028230857
91,burn-in,92,7.050615018233657,0.92,0.2049654698848693,1.1185693173254163
92,burn-in,93,6.985146961174905,0.92,0.2049654698848693,1.168765130674865
93,burn-in,94,6.789735254831612,0.92,0.2049654698848693,1.3250895996739078
94,burn-in,95,6.78886640816927,0.92,0.2049654698848693,0.8866742416022194
95,burn-in,96,6.8231307324022055,0.92,0.2049654698848693,1.1735209000855003
96,burn-in,97,6.767191618680954,0.92,0.2049654698848693,1.0961517414486615
97,burn-in,98,6.915844711475074,0.92,0.2049654698848693,0.992132911484537
98,burn-in,99,6.765599739737809,0.94,0.2049654698848693,1.3422788722530818
99,burn-in,100,6.702878977172077,0.94,0.2049654698848693,0.7997685726884004
100,sample,1,6.662384908646345,0.94,0.2049654698848693,1.500310165428611
101,sample,2,6.711960330605507,0.94,0.2049654698848693,0.8458906277583724
102,sample,3,6.700336194597185,0.94,0.2049654698848693,1.284862783620561
103,sample,4,6.738550463691354,0.94,0.2049654698848693,1.0005422580395271
104,sample,5,6.772995376959443,0.94,0.2049654698848693,1.2341512806151265
105,sample,6,6.778892845846713,0.94,0.2049654698848693,1.1393814317732018
106,sample,7,6.788176571950316,0.94,0.2049654698848693,1.071207511208813
107,sample,8,6.752555255778134,0.94,0.2049654698848693,1.4170554775696964
108,sample,9,6.6884039686992764,0.96,0.2049654698848693,1.1148345785918266
109,sample,10,6.7965992745012045,0.96,0.2049654698848693,1.1429713852881809
110,sample,11,6.771812894381583,0.96,0.2049654698848693,1.237117208313782
111,sample,12,6.776842471212149,0.96,0.2049654698848693,1.0451338010001374
112,sample,13,6.740593332797289,0.96,0.2049654698848693,1.1641657120380493
113,sample,14,6.864735994488001,0.96,0.2049654698848693,1.001515322416892
114,sample,15,6.9590327041223645,0.96,0.2049654698848693,1.087988706368557
115,sample,16,7.011556184850633,0.96,0.2049654698848693,1.3872742488343799
116,sample,17,6.967697314918041,0.96,0.2049654698848693,1.0946837408646974
117,sample,18,7.108473980799317,0.96,0.2049654698848693,0.962487155135886
118,sample,19,7.065255609340966,0.96,0.2049654698848693,1.0059758002879886
119,sample,20,6.966242130845785,0.98,0.2049654698848693,0.9931221569528517
120,sample,21,6.9475953839719296,0.98,0.2049654698848693,1.2478062263697756
121,sample,22,7.077493287622929,0.98,0.2049654698848693,0.9805925075969837
122,sample,23,6.942047598771751,0.98,0.2049654698848693,1.1678117293719106
123,sample,24,6.908148401416838,0.98,0.2049654698848693,0.9193685027668342
