<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
Creating model: src.models.range_bearing.RangeBearingModel
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773135488.715580 3793792 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 20725 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Generating 500 time steps...
I0000 00:00:1773135488.767921 3793897 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x29139aa0
Creating filter: LocalExactDaumHuangFlow
Running LocalExactDaumHuangFlow...

  Step 107/500 | 986.0 ms | elapsed 123.84s
  Step 108/500 | 1037.4 ms | elapsed 124.88s
  Step 109/500 | 1008.2 ms | elapsed 125.89s
  Step 110/500 | 1008.7 ms | elapsed 126.90s
  Step 111/500 | 1021.8 ms | elapsed 127.92s
  Step 112/500 | 1036.5 ms | elapsed 128.95s
  Step 113/500 | 999.3 ms | elapsed 129.95s
  Step 114/500 | 1025.4 ms | elapsed 130.98s
  Step 115/500 | 1030.4 ms | elapsed 132.01s
  Step 116/500 | 1007.7 ms | elapsed 133.02s
  Step 117/500 | 1053.1 ms | elapsed 134.07s
  Step 118/500 | 1008.9 ms | elapsed 135.08s
  Step 119/500 | 1036.2 ms | elapsed 136.12s
  Step 120/500 | 988.4 ms | elapsed 137.10s
  Step 121/500 | 964.3 ms | elapsed 138.07s
  Step 122/500 | 1019.6 ms | elapsed 139.09s
  Step 123/500 | 988.1 ms | elapsed 140.08s
  Step 124/500 | 1017.3 ms | elapsed 141.09s
  Step 125/500 | 1074.5 ms | elapsed 142.17s
  Step 126/500 | 980.5 ms | elapsed 143.15s
  Step 127/500 | 969.5 ms | elapsed 144.12s
  Step 128/500 | 1012.0 ms | elapsed 145.13s
  Step 129/500 | 1005.9 ms | elapsed 146.14s
  Step 130/500 | 1016.9 ms | elapsed 147.15s
  Step 131/500 | 988.5 ms | elapsed 148.14s
  Step 132/500 | 1010.0 ms | elapsed 149.15s
  Step 133/500 | 1088.1 ms | elapsed 150.24s
  Step 134/500 | 975.6 ms | elapsed 151.22s
  Step 135/500 | 999.8 ms | elapsed 152.22s
  Step 136/500 | 992.5 ms | elapsed 153.21s
  Step 137/500 | 951.5 ms | elapsed 154.16s
  Step 138/500 | 1051.6 ms | elapsed 155.21s
  Step 139/500 | 1002.4 ms | elapsed 156.21s
  Step 140/500 | 985.7 ms | elapsed 157.20s
  Step 141/500 | 974.2 ms | elapsed 158.17s
  Step 142/500 | 985.6 ms | elapsed 159.16s
  Step 143/500 | 1065.3 ms | elapsed 160.22s
  Step 144/500 | 1022.9 ms | elapsed 161.25s
  Step 145/500 | 998.2 ms | elapsed 162.24s
  Step 146/500 | 995.4 ms | elapsed 163.24s
  Step 147/500 | 991.2 ms | elapsed 164.23s
  Step 148/500 | 1037.8 ms | elapsed 165.27s
  Step 149/500 | 1000.7 ms | elapsed 166.27s
  Step 150/500 | 942.2 ms | elapsed 167.21s
  Step 151/500 | 991.5 ms | elapsed 168.20s
  Step 152/500 | 1001.8 ms | elapsed 169.21s
  Step 153/500 | 980.2 ms | elapsed 170.19s
  Step 154/500 | 954.7 ms | elapsed 171.14s
  Step 155/500 | 979.6 ms | elapsed 172.12s
  Step 156/500 | 1046.5 ms | elapsed 173.17s
  Step 157/500 | 944.1 ms | elapsed 174.11s
  Step 158/500 | 965.6 ms | elapsed 175.08s
  Step 159/500 | 936.4 ms | elapsed 176.01s
  Step 160/500 | 978.9 ms | elapsed 176.99s
  Step 161/500 | 1058.9 ms | elapsed 178.05s
  Step 162/500 | 947.5 ms | elapsed 179.00s
  Step 163/500 | 1027.1 ms | elapsed 180.02s
  Step 164/500 | 931.9 ms | elapsed 180.96s
  Step 165/500 | 948.0 ms | elapsed 181.90s
  Step 166/500 | 974.7 ms | elapsed 182.88s
  Step 167/500 | 953.3 ms | elapsed 183.83s
  Step 168/500 | 972.6 ms | elapsed 184.81s
