<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.797321 4037018 service.cc:145] XLA service 0x3d8e2da0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.797361 4037018 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.849954 4037018 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: EDHParticleFlowFilter
Running EDHParticleFlowFilter...

  Step 109/500 | 151.6 ms | elapsed 17.17s
  Step 110/500 | 106.2 ms | elapsed 17.27s
  Step 111/500 | 113.9 ms | elapsed 17.39s
  Step 112/500 | 104.6 ms | elapsed 17.49s
  Step 113/500 | 108.4 ms | elapsed 17.60s
  Step 114/500 | 162.2 ms | elapsed 17.76s
  Step 115/500 | 130.0 ms | elapsed 17.89s
  Step 116/500 | 111.8 ms | elapsed 18.00s
  Step 117/500 | 135.0 ms | elapsed 18.14s
  Step 118/500 | 106.3 ms | elapsed 18.24s
  Step 119/500 | 106.1 ms | elapsed 18.35s
  Step 120/500 | 106.2 ms | elapsed 18.46s
  Step 121/500 | 108.4 ms | elapsed 18.57s
  Step 122/500 | 137.2 ms | elapsed 18.70s
  Step 123/500 | 110.5 ms | elapsed 18.81s
  Step 124/500 | 120.4 ms | elapsed 18.93s
  Step 125/500 | 135.2 ms | elapsed 19.07s
  Step 126/500 | 122.0 ms | elapsed 19.19s
  Step 127/500 | 130.3 ms | elapsed 19.32s
  Step 128/500 | 106.4 ms | elapsed 19.43s
  Step 129/500 | 123.2 ms | elapsed 19.55s
  Step 130/500 | 107.5 ms | elapsed 19.66s
  Step 131/500 | 114.0 ms | elapsed 19.77s
  Step 132/500 | 108.7 ms | elapsed 19.88s
  Step 133/500 | 136.0 ms | elapsed 20.02s
  Step 134/500 | 112.3 ms | elapsed 20.13s
  Step 135/500 | 141.0 ms | elapsed 20.27s
  Step 136/500 | 108.6 ms | elapsed 20.38s
  Step 137/500 | 108.3 ms | elapsed 20.49s
  Step 138/500 | 107.7 ms | elapsed 20.60s
  Step 139/500 | 138.4 ms | elapsed 20.73s
  Step 140/500 | 106.6 ms | elapsed 20.84s
  Step 141/500 | 101.1 ms | elapsed 20.94s
  Step 142/500 | 111.7 ms | elapsed 21.05s
  Step 143/500 | 139.4 ms | elapsed 21.19s
  Step 144/500 | 106.4 ms | elapsed 21.30s
  Step 145/500 | 130.1 ms | elapsed 21.43s
  Step 146/500 | 128.5 ms | elapsed 21.56s
  Step 147/500 | 108.9 ms | elapsed 21.67s
  Step 148/500 | 109.9 ms | elapsed 21.78s
  Step 149/500 | 151.0 ms | elapsed 21.93s
  Step 150/500 | 106.7 ms | elapsed 22.03s
  Step 151/500 | 102.0 ms | elapsed 22.14s
  Step 152/500 | 146.4 ms | elapsed 22.28s
  Step 153/500 | 109.9 ms | elapsed 22.39s
  Step 154/500 | 108.3 ms | elapsed 22.50s
  Step 155/500 | 107.3 ms | elapsed 22.61s
  Step 156/500 | 136.3 ms | elapsed 22.74s
  Step 157/500 | 124.0 ms | elapsed 22.87s
  Step 158/500 | 120.2 ms | elapsed 22.99s
  Step 159/500 | 110.9 ms | elapsed 23.10s
  Step 160/500 | 123.6 ms | elapsed 23.22s
  Step 161/500 | 118.4 ms | elapsed 23.34s
  Step 162/500 | 120.5 ms | elapsed 23.46s
  Step 163/500 | 142.0 ms | elapsed 23.60s
  Step 164/500 | 130.6 ms | elapsed 23.73s
  Step 165/500 | 155.8 ms | elapsed 23.89s
  Step 166/500 | 108.3 ms | elapsed 24.00s
  Step 167/500 | 150.5 ms | elapsed 24.15s
  Step 168/500 | 153.3 ms | elapsed 24.30s
  Step 169/500 | 107.5 ms | elapsed 24.41s
  Step 170/500 | 121.4 ms | elapsed 24.53s
  Step 171/500 | 128.4 ms | elapsed 24.66s
  Step 172/500 | 105.2 ms | elapsed 24.76s
  Step 173/500 | 124.1 ms | elapsed 24.89s
  Step 174/500 | 102.7 ms | elapsed 24.99s
  Step 175/500 | 111.9 ms | elapsed 25.10s
  Step 176/500 | 109.9 ms | elapsed 25.21s
  Step 177/500 | 126.2 ms | elapsed 25.34s
  Step 178/500 | 103.0 ms | elapsed 25.44s
  Step 179/500 | 119.5 ms | elapsed 25.56s
  Step 180/500 | 103.8 ms | elapsed 25.67s
  Step 181/500 | 127.6 ms | elapsed 25.79s
  Step 182/500 | 138.5 ms | elapsed 25.93s
  Step 183/500 | 106.2 ms | elapsed 26.04s
  Step 184/500 | 107.4 ms | elapsed 26.15s
  Step 185/500 | 111.8 ms | elapsed 26.26s
  Step 186/500 | 144.0 ms | elapsed 26.40s
  Step 187/500 | 135.5 ms | elapsed 26.54s
  Step 188/500 | 109.6 ms | elapsed 26.65s
  Step 189/500 | 109.8 ms | elapsed 26.76s
  Step 190/500 | 108.2 ms | elapsed 26.86s
  Step 191/500 | 107.5 ms | elapsed 26.97s
  Step 192/500 | 109.6 ms | elapsed 27.08s
  Step 193/500 | 130.2 ms | elapsed 27.21s
  Step 194/500 | 109.1 ms | elapsed 27.32s
  Step 195/500 | 127.1 ms | elapsed 27.45s
  Step 196/500 | 125.4 ms | elapsed 27.57s
  Step 197/500 | 128.6 ms | elapsed 27.70s
  Step 198/500 | 111.3 ms | elapsed 27.81s
  Step 199/500 | 120.7 ms | elapsed 27.93s
  Step 200/500 | 109.4 ms | elapsed 28.04s
  Step 201/500 | 107.1 ms | elapsed 28.15s
  Step 202/500 | 106.6 ms | elapsed 28.26s
  Step 203/500 | 125.8 ms | elapsed 28.38s
  Step 204/500 | 133.6 ms | elapsed 28.52s
  Step 205/500 | 126.4 ms | elapsed 28.64s
  Step 206/500 | 105.3 ms | elapsed 28.75s
  Step 207/500 | 114.0 ms | elapsed 28.86s
  Step 208/500 | 102.9 ms | elapsed 28.96s
  Step 209/500 | 110.9 ms | elapsed 29.08s
  Step 210/500 | 152.6 ms | elapsed 29.23s
  Step 211/500 | 130.2 ms | elapsed 29.36s
  Step 212/500 | 116.1 ms | elapsed 29.47s
  Step 213/500 | 150.0 ms | elapsed 29.62s
  Step 214/500 | 135.2 ms | elapsed 29.76s
  Step 215/500 | 110.1 ms | elapsed 29.87s
  Step 216/500 | 101.5 ms | elapsed 29.97s
  Step 217/500 | 109.3 ms | elapsed 30.08s
  Step 218/500 | 103.7 ms | elapsed 30.18s
  Step 219/500 | 108.9 ms | elapsed 30.29s
  Step 220/500 | 109.2 ms | elapsed 30.40s
  Step 221/500 | 151.2 ms | elapsed 30.55s
  Step 222/500 | 109.2 ms | elapsed 30.66s
  Step 223/500 | 110.6 ms | elapsed 30.77s
  Step 224/500 | 103.9 ms | elapsed 30.88s
  Step 225/500 | 115.2 ms | elapsed 30.99s
  Step 226/500 | 123.1 ms | elapsed 31.12s
  Step 227/500 | 122.7 ms | elapsed 31.24s
  Step 228/500 | 161.5 ms | elapsed 31.40s
  Step 229/500 | 157.2 ms | elapsed 31.56s
  Step 230/500 | 100.7 ms | elapsed 31.66s
